step,loss,util,prob
0,0.97483844,0.5929742,0.956414
1,0.9987623,0.70473623,0.99819773
2,0.9994942,0.7587115,0.99931735
3,0.9998717,0.78851354,0.99983335
4,1.0,0.80687344,1.0
5,1.0,0.8185624,1.0
6,1.0,0.8255919,1.0
7,1.0,0.82987833,1.0
8,1.0,0.8325099,1.0
9,1.0,0.8341295,1.0
10,1.0,0.8351269,1.0
11,1.0,0.8357403,1.0
12,1.0,0.83611715,1.0
13,1.0,0.8363482,1.0
14,1.0,0.83648956,1.0
15,1.0,0.83657587,1.0
16,1.0,0.83662844,1.0
17,1.0,0.8366605,1.0
18,1.0,0.8366801,1.0
19,1.0,0.83669186,1.0
20,1.0,0.836699,1.0
